Sr No, Blood Bank Name, State,District, City,Population,Donors,A+,A-,B+,B-,AB+,AB-,O+,O-,Boold Unit(ltr), Address,Pincode, Mobile, Email, Category, Blood Component Available, Service Time
33,M/S. Dhanwantari Voluntary Blood Bank.,Andhra Pradesh,East Godavari,Rajahmundry,785178,8989,256,1101,1891,989,755,533,1560,1904,4543,"D.No:46-21-1,2nd Floor, Danavaiepeta, Rajahmundry",425756,9364113398,dvbbrjy@gmail.com,Private,NO,24x7
34,M/s. Government Area General Hospital Blood Bank.,Andhra Pradesh,East Godavari,Tuni,616338,6957,34,1338,1763,648,644,596,1572,362,1863,"M/s.Government Area Hospital Blood Bank, Area hospital, Tuni
",278630,8270486327,tunibloodbank@yahoo.com,Charity,YES,24x7
35,M/s. Sakthi Voluntary Blood Bank (Sakthi Association for Social Awarness),Andhra Pradesh,East Godavari,Tuni,921476,11005,1401,1744,1815,244,1673,1132,1541,1455,3918,"D.No: 3-5-9, Opposite to Raithu Bazar, Lalam Satyanarayana Hospital Street, Tuni
",320647,9462674045,NA,Government,YES,24x7
36,Government General Hospital Blood Bank,Andhra Pradesh,Guntur,Guntur,1262255,7285,1200,518,909,1389,946,1451,12,860,1408,"Opposite to Railway Station, 1st Floor, C/o Government General Hospital, Guntur.
",374119,7320359862,bloodbank.ggh.gnt@gmail.com,Charity,YES,24x7
37,Indian Red Cross Society,Andhra Pradesh,Guntur,Guntur,2823249,5376,222,1722,58,183,850,1718,140,483,2676,"Blood Bank Medical Officer, Blood Bank, Indian Red Cross Society, Guntur, District Guntur",361939,8078655503,redcrossbloodbankguntur@yahoo.co.in,Private,YES,12x7
38,Indian Red Cross Society Blood Bank ,Andhra Pradesh,Guntur,Guntur city,4631392,7617,593,1242,1461,1225,1068,1131,599,298,2692,"Zilla Parishad Compound, Nagarampalem, GUNTUR
",419374,9007650845,NA,Government,NO,24x7
39,Lions Club of Guntur Vision Blood Bank,Andhra Pradesh,Guntur,Guntur city,763088,7071,1990,156,504,1498,92,935,492,1404,2698,"1st Floor, Somuvari Street, Kothapeta, Guntur",373914,9379710427,,Charity,NO,24x7
40,Padmavathi Day & Night Blood Bank,Andhra Pradesh,Guntur,Guntur city,2472011,6127,295,326,398,813,1055,1059,1901,280,2919,"Opposite to Head Post Office, Behind Veterinary Hospital, Kothapeta ",373808,6796791283,,Government,NO,24x7
41,M/s. Needs Blood Bank ,Andhra Pradesh,Guntur,Guntur city,1545368,7730,885,1564,1996,108,18,259,1427,1473,4205,"1st Floor, Honda Show Room Building, Opposite Doctor Plaza, Kothapeta
",337834,7382933838,needsbloodbankguntur@gmail.com,Government,YES,24x7
42,M/s. Sri Lakshmi Maternity & Surgical Nursing Home Blood Bank ,Andhra Pradesh,Guntur,Guntur city,909908,6130,392,1529,980,247,1297,1257,185,243,2162,"4th Floor, Behind Sivalayam Temple, Kothapeta
",318973,7181228832,,Government,YES,24x7
43,Saint Joseph General Hospital Blood Bank,Andhra Pradesh,Guntur,Guntur city,1223184,8938,1830,509,451,341,284,1743,1862,1918,2793,"Opposite to Andhra Christian College, Near Flyover, Main Road, Guntur
",221794,6868430960,NA,Charity,YES,24x7
44,NTR Memorial Trust Blood Bank,Andhra Pradesh,Guntur,Guntur city,721139,9153,1058,665,1368,486,1646,960,1033,1937,2829,"Door No. 13-2-87, 1st Line G. V. Thota",388844,9620598246,,Charity,NO,24x7
45,Katuri Medical College and Hospital Blood Bank ,Andhra Pradesh,Guntur,Guntur Rural,12691836,8074,597,941,1685,163,1084,1805,395,1404,4937,"Katuri Nagar, Chinakondrupadu, Guntur
",307166,7055847543,katuribloodbank@gmail.com,Private,YES,12x7
46,NRI Medical College and General Hospital Blood Bank,Andhra Pradesh,Guntur,Guntur Rural,868313,10016,34,1657,1346,1408,691,996,1977,1907,2478,"Mangalagiri Mandalam, Chinakakani, Guntur
",428095,8052539816,NA,Government,YES,24x7
47,Manipal Hospital Bloodbank,Andhra Pradesh,Guntur,Guntur Rural,2228018,7700,935,971,1194,13,1009,1593,1901,84,3201,"Soumyanagar, Tadepalli, Guntur",377092,8511001717,NA,Government,NO,24x7
48,Indian Red Cross Society Blood Bank. Narassraopet,Andhra Pradesh,Guntur,Narasaraopeta,1289497,6122,1453,38,25,44,989,1759,302,1512,2480,"Area Hospital, Narasaraopeta ",463199,8446504513,nrtbloodbankircs@gmail.com,Private,NO,24x7
49,NRT Blood Bank,Andhra Pradesh,Guntur,Narasaraopeta,2600000,7694,373,1940,70,1022,47,1835,1527,880,2976,"GBR Super Speciality Hospital, 10-1-10/1, Palnadu Road, Narasaraopeta
",426790,8682840732,nrtbioodbank@gmail.com,Charity,YES,24x7
50,Anjireddy Multi Specality Blood Bank ,Andhra Pradesh,Guntur,Piduguralla,1220946,10104,1600,1606,1086,1479,766,732,1055,1780,2377,"Gaganamma Temple, Piduguralla
",345245,8916542692,NA,Government,YES,24x7
51,Red Cross Blood Bank,Andhra Pradesh,Guntur,Repalle,1599920,9664,667,1910,180,1512,891,1807,1767,930,3572," Government Hospital Premises
 Repalle-522265
 Guntur Dist,A.P
",274708,7892474287,rplredcrossbb@gmail.com,Charity,YES,24x7
52,Area Hospital (Repeated),Andhra Pradesh,Guntur,Tenali,1284606,9171,432,452,1673,1759,669,1132,1113,1941,1533,"Blood Bank Medical Officer,  Blood Bank, Area Hospital, Tenali, Guntur District",469177,9845161981,tenalibloodbank@gmail.com,Private,YES,12x7
53,APVVP District Hospital Blood Bank,Andhra Pradesh,Guntur,Tenali,2935744,9944,1266,1737,857,757,1885,1463,1310,669,4167,"APVVP District Hospital Premises, Chenchupeta, Tenali, Guntur",384330,7222309155,,Government,NO,24x7
54,Rudhira Voluntary Blood Bank,Andhra Pradesh,Guntur,Tenali,679995,6410,171,187,1259,127,55,1895,1619,1097,1389,"D.No. 7-5-56, KRR Complex, 1st Floor, Opposite ASN college, Prakasam Road, Ganganammapeta, Tenali",323241,6882682068,"maruthi_nagalingam@yahoo.com	",Charity,NO,24x7
55,Best Rotary Blood Bank,Andhra Pradesh,Guntur,Tenali,1177362,6980,1090,437,1641,1080,43,1899,622,168,3866,"Mahila Mandali Building, Sarojini Naidu Street, Kothapeta, Tenali 
",209477,7426199054,NA,Government,NO,24x7
56,Area Hospital Blood Bank,Andhra Pradesh,Krishna,Gudivada,846454,7675,235,1469,1517,655,816,1289,1027,667,1383,Gudivada,434847,8789316667,areahospital.gudivada@gmail.com,Government,YES,24x7
57,Dr. Pattabhi Red Cross Blood Bank ,Andhra Pradesh,Krishna,Machilipatnam,778396,5926,848,453,225,1285,478,71,868,1698,924,"DM & HO Campus, Machilipatnam",267635,8420830594,drprcbloodbankmtm@gmail.com,Government,YES,24x7
58,Government General Hospital (Repeated),Andhra Pradesh,Krishna,Vijayawada,1000000,7171,364,52,917,779,1851,1494,1501,213,516,"Government General Hospital, Ramavarapadu, Vijayawada - 520007",455702,9364045637,gghbbvij@gmail.com,Charity,YES,24x7
59,Government District Headquarters Hospital machilipatnam blood bank,Andhra Pradesh,Krishna,Vijayawada,997281,8255,1516,1836,210,1424,54,1612,466,1137,3707,Machilipatnam,508230,9285130806,dhmtmbb@gmail.com,Charity,NO,24x7
60,Rotary Red Cross Blood Bank,Andhra Pradesh,Krishna,Vijayawada,975857,6996,644,296,1593,535,516,1933,421,1058,687,"H.No: 26-5-5, G.S Raju Street, Gandhinagar, Vijayawada - 520003. Krishna District

",467302,8044833023,redcrosskrishna@gmail.com,Private,YES,12x7
61,Vijaya Sri Blood Bank,Andhra Pradesh,Krishna,Vijayawada,2894504,6778,898,702,396,928,406,559,1296,1593,2470,"VijayaSri Palace,D. No. 29-19-27/4, Ground Floor, First Floor and Second Floor, Dornakal Road, Suryaraopet, Vijayawada",237390,7248549630,vijayasribloodbankvja @gmail.com,Government,YES,24x7
62,Lions Blood Bank,Andhra Pradesh,Krishna,Vijayawada,1034724,7557,524,182,1832,178,945,1769,711,1416,2226,"D. No. 29-19-85, 1st & 2nd Floor,Old Janatha Hospital Building, Dornakal Road, Suryaraopet, Vijayawada
",477591,7006932240,lionsbloodbank@yahoo.com,Government,NO,24x7
63,University General Hospital Blood Bank,Andhra Pradesh,Krishna,Vijayawada,1261517,10142,1742,859,925,1783,1319,1277,776,1461,4262,"Ring Road, Gunadala, Vijayawada",503364,9938005387,"gghbbvij@gmail.com	",Private,NO,24x7
64,M/s. Chaitanya Blood Bank,Andhra Pradesh,Krishna,Vijayawada,784153,7785,1446,1930,1879,1285,35,661,172,377,3422,"40-9/1-26, Vasavya Complex, Benz Circle, Vijayawada
",507028,8399999416,NA,Charity,YES,24x7
65,Nagarjuna Hospital Blood Bank,Andhra Pradesh,Krishna,Vijayawada,775484,11889,1821,1243,1168,1930,1964,944,988,1831,2071,"Kanuru, Vijayawada",361650,8746246837,,Government,YES,24x7
66,Saint Ann&#39;s Hospital Blood Bank  ,Andhra Pradesh,Krishna,Vijayawada,1435844,6586,50,1031,98,1632,660,507,1965,643,4359,"Punnammathota, Bandhar Road, Vijayawada - 2
",208752,7650746173,annshospitall@gmail.com,Charity,YES,24x7
67,Rotary Red Cross Blood Bank (Repeated),Andhra Pradesh,Krishna,Vijayawada,1409476,5562,635,533,427,398,1682,313,890,684,3931,"26-5-5, G.S. Raju Road, Vijayawada ",273134,7668731328,,Private,YES,12x7
68,Dr. Pinnamaneni Siddhartha Insitiute of Medical Sciences & Research Foundation (Dr.P.SIMS & RF) Blood Bank  ,Andhra Pradesh,Krishna,Vijayawada,1164404,9405,1135,530,1252,1743,1469,794,1007,1475,2547,Chinnaoutapalli. ,466280,7135258125,NA,Government,NO,24x7
69,Bethesda Blood Bank,Andhra Pradesh,Krishna,Vijayawada,874587,11452,897,1806,1411,940,865,1893,1931,1709,3194,"29-10-2, Ground Floor, Narsimharao Street, Suryaraopet, Vijayawada ",224427,9879289010,,Charity,NO,24x7
70,"Smt CH. Manju Vani Vara Prasad, Lions District 316D Blood Bank ",Andhra Pradesh,Krishna,Vijayawada,1063178,8313,1883,1346,1203,149,1570,396,1116,650,262,"H.No.29-4-54K, Conan Dhanvoda Anantham Complex, Prakasam Road, Suryaraopet, Vijayawada",390961,9122315962,lionsbloodbank@yahoo.com,Government,NO,24x7
71,Suraksha Voluntary Blood Bank,Andhra Pradesh,Krishna,Vijayawada,76303,9652,1583,1015,1356,1889,254,1054,1941,560,4564,"29-10-8, Govinda Rajulu Naidu Street, Suryaraopet, Vijayawada 
",258950,9531816378,surakshabloodbank@gmail.com,Government,YES,24x7
72,M/s Ayush Nri Lepl Health Care Private Limited  ,Andhra Pradesh,Krishna,Vijayawada,93874,8790,1107,1819,927,823,866,1820,1091,337,4282,"First Floor, D. No. 40-13-3& 3A, Ring Road, Sriramachandra Nagar, Vijayawada
",303973,9388379189,NA,Government,YES,24x7
73,M/s. Nimra Institute of Medical Sciences ,Andhra Pradesh,Krishna,Vijayawada,105682,8059,1814,23,177,1484,41,1266,1736,1518,861,"Ground Floor, Adjacent to Central Lab, Teaching Hospital & Research Centre, Nimranagar, Jupudi, Ibrahimpatmnam, Vijayawada.Krishna ",270421,6573440623,nimrabloodbank@gmail.com,Charity,YES,24x7
74,"RCH -II Blood Bank, Area Hospital, Adoni",Andhra Pradesh,Kurnool,Adoni,36327,7692,398,606,1157,245,1223,1949,749,1365,3950,"Dr. H. Siva Reddy, Civil Surgeon RMO (Rtd),Medical Officer  IRCS, RCH-II, Blood Bank, Area Hospital, Adoni-518301",245777,6215249190,drhsivareddy123@gmail.com,Charity,NO,24x7
75,M/s. Indian Red Cross Society Blood Bank RCH 2,Andhra Pradesh,Kurnool,Adoni,177384,7944,1214,803,1769,1337,57,1020,785,959,1030,"First Floor, Government Area Hospital, Adoni, Kurnool
",389833,7421061604,NA,Private,YES,12x7
76,M/s. Government General Hospital Blood Bank,Andhra Pradesh,Kurnool,Kurnool,33183,6806,1220,643,435,1405,34,349,1557,1163,4403,kurnool,427889,8923597878,knlgghbloodbank@gmail.comsupdtgghknl@gmail.com,Government,YES,24x7
77,M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,Kurnool,Kurnool,193752,8475,1570,1030,1075,1272,129,1293,1528,578,2040,"Opposite Ravi Theatre, D.M & H.O Compound, Beside Control Room, Kurnool
",473831,7581574286,indianredcrossknl@yahoo.com,Government,NO,24x7
78,M/s. Viswa Bharathi General Hospital Blood Bank,Andhra Pradesh,Kurnool,Kurnool,37381,8940,879,1767,1329,715,122,1862,548,1718,351,"2nd Floor, R. T. Nagar, Near Penchikalapadu (v) Kallur (m), Kurnool ",209727,9742461596,,Private,NO,24x7
79,M/s. Viswa Bharathi Blood Bank,Andhra Pradesh,Kurnool,Kurnool,168269,9748,1698,174,1544,1634,1894,1811,750,243,3476,"D. No. 50/760-A-127-13,1st Floor (O.P. Block), Gayathri Estate, Kurnool.",470570,8492213244,,Charity,YES,24x7
80,M/s. R.R. Hospital Blood Bank,Andhra Pradesh,Kurnool,Kurnool,63009,8154,1660,938,745,1734,438,1536,671,432,1114,"D.No.40-304-10, 2nd Floor, Bhagya Nagar, Kurnool",377226,6508030917,NA,Government,YES,24x7
81,District Hospital Blood Bank ,Andhra Pradesh,Kurnool,Nandyal,254956,10504,874,1512,605,1791,1912,1876,951,983,2402,"District Hospital, Noonepalli, Nandyal, Kurnool
",255717,7318343427,bbdhnandyal@gmail.com,Charity,YES,24x7
82,M/s. Shantiram Medical College & General Hospital Blood Bank,Andhra Pradesh,Kurnool,Nandyal,185614,7904,1145,577,1147,1436,1178,666,753,1002,2869,"(Shafa Educational Society) NH-18, Nandyal",230016,9214352962,,Private,YES,24x7
83,Government Hospital Blood Bank,Andhra Pradesh,Kurnool,Srisailam Project,118485,8871,1080,1256,1060,532,533,1857,1948,605,2905,"Blood Bank Medical Officer,  Blood Bank, Government Hospital, Srisailam Project, Kurnool District",334947,8723719899,,Government,NO,12x7
84,M/s. Area Hospital Blood Bank,Andhra Pradesh,Prakasam,Chirala,195380,9543,1372,910,1900,1711,826,1230,922,672,4764,"Ground Floor, Room No.10, Area Hospital, Chirala, Prakasam ",509356,9743871335,shaikabdulhafiz@gmail.com,Charity,NO,24x7
85,Indian Red Cross Society Blood bank,Andhra Pradesh,Prakasam,Markapur,14549,7764,244,1093,56,1498,1825,372,1366,1310,3403,"A.P.V.P. Area Hospital, Cumbum Road, Markapur",220584,8936670214,ahmarkapur@yahoo.com,Government,NO,24x7
86,M/s. RIMS General Hospital Blood Bank,Andhra Pradesh,Prakasam,Ongole,175777,8271,276,709,82,875,1213,1749,1502,1865,1994,"C/o. RIMS General Hospital , D.No. 8-5-2/A, Opposite Bapuji Kalamandir, Bhagya Nagar, 5th Lane, Ongole
",236012,6490102261,bloodbankrimsongole@gmail.com,Government,YES,24x7
87,Indian Red Cross Society Blood Bank,Andhra Pradesh,Prakasam,Ongole,162219,8312,1735,967,941,440,1545,860,760,1064,4296,"IRCS Blood Bank, Railway Station Road, SanthaPeta, Ongole, Prakasam
",488193,6740858310,ircsbbongole@gmail.com,Government,YES,24x7
88,M/s. Life Line Volunytary Blood Bank,Andhra Pradesh,Prakasam,Ongole,217730,8399,378,1100,752,1256,1639,1767,769,738,3706,"D. No.37-1-169/54, 2nd Floor, Sundharaiah Bhavan Raod, Ongole.
",379033,7883625406,ehara.rao0900@gmail.com,Charity,YES,24x7
89,M/s. Belief Blood Bank,Andhra Pradesh,Prakasam,Ongole,257166,7759,550,1662,888,823,1153,447,1202,1034,3091,"3rd Floor, Sai Complex, Addanki Bus Stop, Ongole
",320062,9720505333,NA,Charity,NO,24x7
90,Government Hospital Blood Bank,Andhra Pradesh,Spsr Nellore,Gudur,246389,11938,1466,2000,1780,1675,248,1816,1851,1102,4310,"Area Hospital Compound, Gudur
",325972,8908295849,ahgudur@yahoo.com,Private,YES,24x7
91,M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society (IRCS) (REPEATED),Andhra Pradesh,Spsr Nellore,Kavali,245188,7578,983,417,1562,535,1172,154,795,1960,1627,"Survey No.1083/3, R.D Office Compound, Kavali.",377953,9128984872,,Government,YES,12x7
92,M/s. APVVP Area Hospital Blood Bank,Andhra Pradesh,Spsr Nellore,Kavali,160727,9032,1650,646,279,1672,155,1378,1970,1282,2477,Area Hospital Compound Kavali,266810,9582688772,,Government,NO,24x7
93,M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society Blood Bank,Andhra Pradesh,Spsr Nellore,Kavali,74289,7342,1443,1686,634,1024,198,437,407,1513,4763,"Survey No.1083/3, R.D. Office Compound, Kavali
",486724,7689777398,NA,Private,NO,24x7
94,Indian Red Cross Society Blood Bank,Andhra Pradesh,Spsr Nellore,Nellore,50057,8236,932,1373,1646,1327,517,1134,938,369,2146,"Indian Red Cross Society (IRCS) Road, Madras Bus stand, Nellore 

",412555,7464578798,redcross_nlr@yahoo.com,Charity,YES,24x7
95,District Headquarters Hospital (Repeated),Andhra Pradesh,Spsr Nellore,Nellore,108008,7984,1259,636,471,1593,691,1665,1445,224,3660,"District Headquarters Hospital, Dargamitta, Nellore",350340,7977662466,dsrbbnlr@gmail.com,Government,YES,24x7
96,D.S.R. Headquarters Hospital Blood Bank,Andhra Pradesh,Spsr Nellore,Nellore,37537,6148,402,530,130,1739,804,481,498,1564,4137,"Government Hospital Compound, Nellore",501433,7748422459,,Charity,YES,24x7
97,Narayana Medical College & Hospital Blood Bank,Andhra Pradesh,Spsr Nellore,Nellore,122888,6189,226,1171,926,1419,73,1174,75,1125,1849,"Narayana Hospital compound, Nellore",477446,9248740094,NA,Private,YES,24x7
98,Gems Hospital Blood Bank,Andhra Pradesh,Srikakulam,Ragolu,116115,8116,638,1774,1646,1235,1358,471,404,590,592,"Gems Hospital Premises, Ragolu, Srikakulam",275856,7058564177,NA,Government,NO,12x7
99,GMR Varalakshmi Care Hospital Blood Bank,Andhra Pradesh,Srikakulam,Rajam,62924,9518,1845,1941,706,1767,1067,121,1190,881,4733,"GMR Varalakshmi Care Hospital Premises, GMR Nagar, Rajam
",263539,9390094460,NA,Charity,NO,24x7
100,Rajiv Gandhi Institute of Medical Sciences (RIMS) General Hospital Blood Bank,Andhra Pradesh,Srikakulam,Srikakulam,160693,7320,148,628,231,1414,633,572,1875,1819,2289,"RIMS Government Hospital Premises, Balaga, Srikakulam
",341370,9316822636,bbrimssklm@gmail.com,Government,NO,24x7
